,P,AL,C,NI,WH,L,PP,PF,SF,TA,ZN,RB,AU,RM,OI,CS,WR,SP,CU,LR,CF,RR,FB,I,A,SS,RU,JD,M,JM,BC,J,LH,Y,MA,CJ,PG,FU,HC,BU,EG,FG,RS,SM,ZC,AP,SR,V,SA,SN,UR,BB,NR,B,LU,PK,AG,PB,EB,JR,SI,RI,CY,SC
2010-02-09,6727.349689624593,16507.8380343123,1826.1992658626114,,,11337.427350427351,,,,8167.978430472694,17314.887376818395,4453.0,239.02280922761986,,,,4190.0,,53235.53776483907,,16176.617106069896,,,,3751.0,,22720.0,,2788.1151832460737,,,,,7498.170123391967,,,,4393.0,,,,,,,,,4994.0,7580.100250626566,,,,,,3898.0231956612433,,,,,,,,,,
2010-02-10,6707.201891812,16652.16341959872,1829.1914001048767,,,11491.54700854701,,,,8240.365305185866,17701.867667761613,4511.0,240.59144949216596,,,,4225.0,,54764.5479540676,,16399.06499080319,,,,3701.0,,23625.0,,2770.8481675392673,,,,,7494.176424258336,,,,4410.0,,,,,,,,,5138.0,7692.434210526316,,,,,,3898.0231956612433,,,,,,,,,,
2010-02-11,6755.556606562222,16691.97731898808,1830.1887781856317,,,11573.423076923078,,,,8316.664983937586,18088.847958704835,4520.0,241.2908432406897,,,,4225.0,,55354.1662623322,,16430.104230533416,,,,3727.0,,24270.0,,2795.2251308900527,,,,,7556.078760829614,,,,4445.0,,,,,,,,,5246.0,7692.434210526316,,,,,,3898.0231956612433,,,,,,,,,,
2010-02-12,6717.275790718297,16871.139866240188,1830.1887781856317,,,11477.098290598291,,,,8402.74667278568,18406.370248709525,4593.0,243.28911109361468,,,,4280.0,,56413.480511078764,,16455.97026364194,,,,3714.0,,24650.0,,2793.193717277487,,,,,7528.122866894198,,,,4483.0,,,,,,,,,5395.0,7741.275062656641,,,,,,4026.462244472257,,,,,,,,,,
2010-02-22,6882.487732781554,17035.372201221286,1840.162558993183,,,11558.97435897436,,,,8492.741165672327,18877.692397935243,4556.0,249.31388867018345,,,,4265.0,,58981.81788775675,,16859.480380134886,,,,3745.0,,25165.0,,2835.8534031413615,,,,,7625.968495668154,,,,4568.0,,,,,,,,,5270.0,7819.420426065162,,,,,,3904.1393408427202,,,,,,,,,,
2010-02-23,6940.916346438072,17095.09305030532,1855.1232302045096,,,11558.97435897436,,,,8518.174391922901,18773.505396527453,4607.0,247.88512715534208,,,,4305.0,,59011.798479702404,,16900.866033108523,,,,3792.0,,25355.0,,2889.6858638743456,,,,,7689.867681806249,,,,4563.0,,,,,,,,,5278.0,7804.768170426065,,,,,,3944.913642052566,,,,,,,,,,
2010-02-24,6874.428613656517,16901.000290782205,1852.1310959622442,,,11558.97435897436,,,,8512.305185865076,18396.44767714688,4601.0,245.53716242815526,,,,4279.0,,58282.27074235808,,16699.110974862047,,,,3779.0,,25535.0,,2874.450261780105,,,,,7621.974796534523,,,,4550.0,,,,,,,,,5351.0,7780.347744360902,,,,,,3974.475010429704,,,,,,,,,,
2010-02-25,6834.1330180313325,16920.907240476885,1853.1284740429994,,,11732.358974358975,,,,8416.441486920607,18302.989787877952,4597.0,243.00935359420518,,,,4280.0,,57922.873389373344,,16574.95401594114,,,,3770.0,,24905.0,,2863.277486910995,,,,,7574.050406930953,,,,4558.0,,,,,,,,,5360.0,7755.927318295739,,,,,,3974.475010429704,,,,,,,,,,
2010-02-26,6799.881761749925,16816.39575457982,1850.136339800734,,,11741.991452991453,,,,8465.35153740248,18288.233279046017,4620.0,247.0158806393197,,,,4283.0,,58072.62228645032,,16900.866033108523,,,,3764.0,,25070.0,,2847.0261780104715,,,,,7558.0756103964295,,,,4558.0,,,,,,,,,5433.0,7687.5501253132825,,,,,,3974.475010429704,,,,,,,,,,
2010-03-01,6860.325155187703,16925.883977900554,1860.1101206082851,,,11722.726495726496,,,,8461.438733363928,18642.38949101248,4677.0,248.3347374222502,,,,4328.0,,60788.068953446105,,16942.25168608216,,,,3806.0,,25000.0,,2876.4816753926702,,,,,7615.984247834077,,,,4587.0,,,,,,,,,5466.0,7697.318295739348,,,,,,3983.6492282019194,,,,,,,,,,
2010-03-02,6846.221696718888,16607.372782785693,1856.1206082852648,,,11655.299145299146,,,,8398.833868747131,17943.914739634176,4609.0,248.4246594756318,,,,4275.0,,59090.91478657374,,16823.267933782954,,,,3796.0,,24193.548387096773,,2854.1361256544506,,,,,7611.990548700446,,,,4555.0,,,,,,,,,5310.0,7648.477443609022,,,,,,3975.49436795995,,,,,,,,,,
2010-03-03,6906.665090156665,16746.721430648446,1856.1206082852648,,,11703.461538461539,,,,8359.705828361633,18116.074009340096,4586.0,252.26133375324775,,,,4278.0,,59649.977335661104,,16968.11771919068,,,,3810.0,,24294.354838709678,,2865.3089005235606,,,,,7665.905487004463,,,,4571.0,,,,,,,,,5324.0,7687.5501253132825,,,,,,3975.49436795995,,,,,,,,,,
2010-03-04,6838.162577593851,16741.744693224777,1846.1468274777135,,,11655.299145299146,,,,8285.362551629189,18209.531898609024,4528.0,251.26219982678526,,,,4207.0,,59450.312139558475,,16864.65358675659,,,,3770.0,,23780.24193548387,,2821.6335078534034,,,,,7604.003150433185,,,,4576.0,,,,,,,,,5267.0,7609.4047619047615,,,,,,3975.49436795995,,,,,,,,,,
