,P,AL,C,NI,WH,L,PP,PF,SF,TA,ZN,RB,AU,RM,OI,CS,WR,SP,CU,LR,CF,RR,FB,I,A,SS,RU,JD,M,JM,BC,J,LH,Y,MA,CJ,PG,FU,HC,BU,EG,FG,RS,SM,ZC,AP,SR,V,SA,SN,UR,BB,NR,B,LU,PK,AG,PB,EB,JR,SI,RI,CY,SC
2010-04-07,6968.0,16489.9947149909,1932.0,,,11525.373650107991,,,,8200.041680129349,19167.623410261836,4388.217466493731,250.68,,,,4367.0,,62597.38960464865,,16284.266666666666,,,,3894.0,,25178.536,,2840.0,,,,,7714.0,,,,4681.074472664658,,,,,,,,,5275.660303856643,7070.571002280024,,,,,,3927.2823529411767,,,,,,,,,,
2010-04-08,6970.0,16337.718922269803,1907.0,,,11408.01727861771,,,,8128.458499829574,18700.595022600635,4355.618244703848,251.8,,,,4363.0,,61585.67454528022,,16198.56,,,,3883.0,,24729.36,,2826.0,,,,,7692.0,,,,4661.289711579853,,,,,,,,,5257.025710946631,7048.209930166551,,,,,,3972.423529411765,,,,,,,,,,
2010-04-09,6998.0,16396.664390419905,1904.0,,,11515.593952483801,,,,8171.7851615899635,18875.730667973585,4390.0285343709465,253.7,,,,4407.0,,62418.8516529954,,16084.284444444445,,,,3891.0,,24946.543999999998,,2829.0,,,,,7750.0,,,,4693.934567369781,,,,,,,,,5317.070510323335,7115.293146506969,,,,,,3974.4298039215687,,,,,,,,,,
2010-04-12,7024.0,16600.711769500685,1897.0,,,11481.365010799136,,,,8168.017625784712,19002.21752296516,4411.761348897536,255.42,,,,4453.0,,62418.8516529954,,16117.614814814815,,,,3908.0,,25158.791999999998,,2844.0,,,,,7752.0,,,,4699.869995695221,,,,,,,,,5377.11530970004,7124.237575352357,,,,,,4013.552156862745,,,,,,,,,,
2010-04-13,6990.0,16561.84560205673,1914.0,,,11491.144708423326,,,,8130.3422677322,18827.08187759221,4419.911154345006,253.45,,,,4504.0,,61972.50677386227,,16089.045925925926,,,,3904.0,,25065.007999999998,,2856.0,,,,,7720.0,,,,4697.891519586741,,,,,,,,,5376.080054538372,7092.932074393496,,,,,,4027.5960784313725,,,,,,,,,,
2010-04-14,6984.0,16634.71966601415,1913.0,,,11628.060475161987,,,,8137.877339342703,18929.2443373931,4395.461738002594,253.95,,,,4512.0,,62071.69452478074,,16141.422222222222,,,,3902.0,,25267.384,,2865.0,,,,,7706.0,,,,4707.783900129143,,,,,,,,,5387.4678613167125,7124.237575352357,,,,,,4035.6211764705886,,,,,,,,,,
2010-04-15,6980.0,16605.57004043118,1913.0,,,11618.280777537797,,,,8147.2961788558305,18938.974095469373,4363.768050151319,253.66056985655334,,,,4475.0,,62081.61329987259,,16108.091851851852,,,,3892.0,,25297.0,,2864.0,,,,,7706.0,,,,4720.643994834266,,,,,,,,,5343.987144526685,7213.681863806248,,,,,,4039.6337254901964,,,,,,,,,,
2010-04-16,6988.0,16547.270789265243,1914.0,,,11588.941684665226,,,,8120.923428219072,19084.920466613497,4380.973194984868,253.7304323049715,,,,4490.0,,61843.562697668254,,16150.945185185185,,,,3901.0,,25000.84,,2884.0,,,,,7716.0,,,,4722.622470942746,,,,,,,,,5368.833268406701,7160.015290733913,,,,,,4058.6933333333336,,,,,,,,,,
2010-04-19,6888.0,16100.309863659722,1925.0,,,11261.32181425486,,,,7973.989531814273,18180.052965519917,4303.0972762645915,249.20933385733935,,,,4431.0,,59582.08197672705,,15989.054814814815,,,,3872.0,,24013.64,,2858.0,,,,,7610.0,,,,4671.182092122255,,,,,,,,,5247.708414491625,7097.40428881619,,,,,,4017.564705882353,,,,,,,,,,
2010-04-20,6902.0,16221.766636922091,1924.0,,,11408.01727861771,,,,8047.456480016673,18452.48619165562,4321.207955036749,250.57664177638043,,,,4428.0,,60306.15255843191,,16136.660740740741,,,,3891.0,,24418.392,,2891.0,,,,,7630.0,,,,4703.826947912183,,,,,,,,,5308.788469029996,7128.709789775052,,,,,,4079.7592156862747,,,,,,,,,,
